REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RESE_FFS,MORTALITY RANDOM EFFECTS STANDARD ERROR (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Random Effects Standard Error (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Standard error of the hospital random intercept from the 30-day mortality model; reflects estimate precision (smaller with higher volume). Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RESE_MA,MORTALITY RANDOM EFFECTS STANDARD ERROR (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Random Effects Standard Error (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Standard error of the hospital random intercept from the 30-day mortality model; reflects estimate precision (smaller with higher volume). Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_SCORE,MORTALITY SCORE (OUTCOMES),,Mortality Score (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Min-max normalized (0-1) value of 30-day mortality used in the weighted composite score; 1 = best observed/theoretical performance in the cohort. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_VOL_FFSMA,NUMBER OF PATIENTS (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (STRUCTURE),,Number of Patients (Fee-For-Service & Medicare Advantage Data) (Structure),Cohort volume over the 5-year window (2019-2023). Higher-volume hospitals tend to achieve better outcomes; volume is winsorized at the greater of 200 cases or modified Z-score 3 to limit outlier effects. Minimum 15 cases required for rating. Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.,,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_VOL_FFS,NUMBER OF PATIENTS (FEE-FOR-SERVICE DATA) (STRUCTURE),,Number of Patients (Fee-For-Service Data) (Structure),Cohort volume over the 5-year window (2019-2023). Higher-volume hospitals tend to achieve better outcomes; volume is winsorized at the greater of 200 cases or modified Z-score 3 to limit outlier effects. Minimum 15 cases required for rating. Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.,,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_VOL_MA,NUMBER OF PATIENTS (MEDICARE ADVANTAGE DATA) (STRUCTURE),,Number of Patients (Medicare Advantage Data) (Structure),Cohort volume over the 5-year window (2019-2023). Higher-volume hospitals tend to achieve better outcomes; volume is winsorized at the greater of 200 cases or modified Z-score 3 to limit outlier effects. Minimum 15 cases required for rating. Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.,,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_VOL_BAND_FFSMA,NUMBER OF PATIENTS BAND (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (STRUCTURE),,Number of Patients Band (Fee-For-Service & Medicare Advantage Data) (Structure),"Cohort volume over the 5-year window (2019-2023). Higher-volume hospitals tend to achieve better outcomes; volume is winsorized at the greater of 200 cases or modified Z-score 3 to limit outlier effects. Minimum 15 cases required for rating. Categorical display band for patient volume, assigned by statistical confidence of deviation from the mean: Excellent / Better than Average (>=90% / >=75% confidence better), Average, Worse than Average / Poor (>=75% / >=90% confidence worse). Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_VOL_SCORE_FFSMA,NUMBER OF PATIENTS SCORE (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (STRUCTURE),,Number of Patients Score (Fee-For-Service & Medicare Advantage Data) (Structure),Cohort volume over the 5-year window (2019-2023). Higher-volume hospitals tend to achieve better outcomes; volume is winsorized at the greater of 200 cases or modified Z-score 3 to limit outlier effects. Minimum 15 cases required for rating. Min-max normalized (0-1) value of patient volume used in the weighted composite score; 1 = best observed/theoretical performance in the cohort. Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.,,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_NSC_BAND,NURSE STAFFING AND COMMUNICATION BAND (PROCESS),,Nurse Staffing And Communication Band (Process),"Composite of two equally weighted subcomponents: the nurse staffing ratio (FTE registered nurses per adjusted patient day, AHA survey, capped at 2.4 per 1,000 adjusted patient-days) and the HCAHPS patient experience with nursing care linear score. Categorical display band for nurse staffing and communication, assigned by statistical confidence of deviation from the mean: Excellent / Better than Average (>=90% / >=75% confidence better), Average, Worse than Average / Poor (>=75% / >=90% confidence worse). Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_NSC_SCORE,NURSE STAFFING AND COMMUNICATION SCORE (PROCESS),,Nurse Staffing And Communication Score (Process),"Composite of two equally weighted subcomponents: the nurse staffing ratio (FTE registered nurses per adjusted patient day, AHA survey, capped at 2.4 per 1,000 adjusted patient-days) and the HCAHPS patient experience with nursing care linear score. Min-max normalized (0-1) value of nurse staffing and communication used in the weighted composite score; 1 = best observed/theoretical performance in the cohort. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_NSR,NURSE STAFFING RATIO (PROCESS),,Nurse Staffing Ratio (Process),"FTE non-supervisory registered nurses divided by adjusted average daily patient census (inpatient plus revenue-adjusted outpatient workload), from the AHA Annual Survey; ceiling threshold of 2.4 applied to reduce outlier effects. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
