REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_TYPE,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - MEDICARE ADVANTAGE,Mortality - Standard Error for Random Effects - Medicare Advantage (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY - STANDARD ERROR FOR RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,Mortality - Standard Error for Random Effects - Traditional Fee-for-Service (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION ALL SCALED,Mortality First Normalization All Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,UROLOGY,,MORTALITY - RANDOM EFFECTS,MORTALITY FIRST NORMALIZATION SUB SCALED,Mortality First Normalization Sub Scaled (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,"EAR, NOSE, AND THROAT",,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GERIATRIC CARE,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,ORTHOPEDICS,,MORTALITY - RANDOM EFFECTS,MORTALITY PREDICTED VALUE,Mortality Predicted Value (Outcomes),,,N/A,,,,,,
